bookmaker,clv_T-1min,clv_T-2min,clv_T-5min,clv_T-10min,clv_T-15min,clv_T-20min,weighted_clv_score,soft_book,rank
vertex,0.0003937068726193706,0.0006705329147343289,0.00125713801818669,0.0016896265947080695,0.0025564584739313366,0.002951724378342973,0.0010930169360944806,False,1
singbet,0.001031506031789945,0.0013593757126957795,0.002419724951097182,0.003632995709905941,0.004764201288344655,0.00522395947698221,0.0022158174348272655,False,2
kaiyun,0.0016782823440550378,0.0018486830952794062,0.0027345509378227614,0.003581756041527691,0.004626152813997836,0.0055289032347617,0.0026001329022232816,False,3
3et,0.0012822555886756,0.002164817115030234,0.0038720788266372297,0.005140930299021455,0.005987131945943638,0.006466642355178847,0.003085054121523739,False,4
sharpbet,0.003970269015126983,0.004464614259666581,0.004928793789269465,0.005605711285981175,0.006167144729322666,0.0064630339815169085,0.004773201171456372,False,5
sx.bet,0.0022420886388712924,0.002590532093258047,0.003893654878448894,0.0068066519233233305,0.016215993398272836,0.01644765292816904,0.005198986991685162,False,6
198bet,0.004705211174235542,0.004954697061202849,0.005662116287295668,0.006408714618514025,0.00690724627040435,0.007157268584388234,0.005458107727623573,False,7
pinnacle,0.006593228698957949,0.0069984063173528675,0.0076433144464920525,0.008165536322893723,0.008645805066296117,0.008911395369048647,0.007361289597928705,True,8
prophetx,0.007065157143523933,0.007323546719911703,0.007812658226225426,0.00814397709513461,0.00875437132668415,0.009103200327740785,0.007643253014782463,True,9
betfair-ex,0.10589485297503441,0.10589485297503441,0.10589485297503441,0.10589485297503441,0.10589485297503441,0.10589485297503441,0.1058948529750344,True,10
polymarket,0.12631482021267423,0.1263944161207679,0.12655265930400694,0.1266184760563439,0.126670839266807,0.12671081274714716,0.12646282223624228,True,11
