bookmaker,clv_T-1min,clv_T-5min,clv_T-10min,clv_T-20min,clv_T-30min,clv_T-60min,clv_T-300min,clv_T-720min,clv_T-1440min,clv_T-1800min,vig_T-1min,vig_T-5min,vig_T-10min,vig_T-20min,vig_T-30min,vig_T-60min,vig_T-300min,vig_T-720min,vig_T-1440min,vig_T-1800min,weighted_clv_score,soft_book,rank
vertex,0.001457610911337889,0.0022956958317206845,0.0027303485630700984,0.004145058717170051,0.00499645965647693,0.007487790056447892,0.014440280585328334,0.0157836044973464,0.016227383374532434,,1.0325646585365853,1.032460246031746,1.0324584126984129,1.0324404523809525,1.032505674796748,1.032956981981982,1.0453081238095239,1.0453108584070796,1.04528715,,0.004578119120487687,False,1
singbet,0.001762476317682845,0.0035411429222231235,0.005138151639514884,0.006131250392657647,0.007997854851739277,0.010563516690942203,0.01723253853331462,0.021304233152853444,0.022334338734096827,0.025679218034672817,1.034449629095675,1.034341942204301,1.0341404113009198,1.0343214396014944,1.0341425524861878,1.03436975070028,1.0340013805855162,1.0337920226244344,1.0327058771929825,1.0329202094763092,0.006846933830741278,False,2
kaiyun,0.0028908097523713265,0.0036971048117327102,0.004778666468719445,0.006434927774555126,0.007538846089923088,0.010688379104601731,0.016162624130397287,0.018936467072150805,0.022277051390595538,0.02500734222518016,1.0412345139925374,1.0412525132575758,1.0413364428706327,1.0412525033686237,1.0411753447265626,1.0408128723404255,1.0399120443407235,1.0399002896551726,1.0407460671532847,1.0405867178362573,0.006924539890526741,False,3
3et,0.002757758457936268,0.005013278826873199,0.00619982187657657,0.007535591323017529,0.008414270511198623,0.010426267956515078,0.016293274223218173,0.018142783853054175,0.018782539998912755,0.021753557544760466,1.0532786753407684,1.0530526061026353,1.0531749902097902,1.0525846258692628,1.0529474019886365,1.0529088804347826,1.0520158229007635,1.0543536267716536,1.051544735218509,1.0482095476190476,0.007402717297676774,False,4
198bet,0.005349810225056539,0.006211558679858993,0.007067216133346399,0.00835388737032257,0.009442228425806769,0.011740430681610143,0.015483992610761015,0.01693922386377495,0.019603973046511677,0.023162050152751096,1.0458524274735832,1.045688120158888,1.0455673580121705,1.0451642224576272,1.0449982207650272,1.04516693757503,1.0461093030998851,1.0459082242774567,1.059890625,1.059565226229508,0.008615248387092708,False,5
sharpbet,0.006246597814666792,0.006673712264239775,0.007464647354941838,0.007997523843924815,0.009030091124475307,0.009155185979173898,0.014552090587488761,0.018069555060558396,0.02249558912287394,0.023727730107284264,1.0331879565807327,1.0331566703910615,1.0328842958677686,1.032942065891473,1.0327293498920087,1.0326478546511628,1.0332300095238096,1.0362605830985916,1.0313033098591549,1.031582158653846,0.008764063070446151,False,6
polymarket,0.006144131257647436,0.006641919792425027,0.00735488019832468,0.007177201090620207,0.007679319209734509,0.009068728249248868,0.023102333240209355,0.021707374392633944,0.025409491391819514,0.03804505831577619,1.021319,1.020295652173913,1.0200108985507246,1.0193105072463768,1.0204431739130435,1.021025421875,1.021593851851852,1.0203109714285714,1.0211316641221373,1.021730213592233,0.00938401908005267,False,7
prophetx,0.007651295822060545,0.008396496391599922,0.008832620918911144,0.009270325029485386,0.009640636690770074,0.011233510280214876,0.015010446102382865,0.014689976566170966,0.014691756167689677,0.01865824873271224,1.0115883155339807,1.0115264864864866,1.0113590565110564,1.010954938271605,1.0111876025,1.0116129060913706,1.0127919675516224,1.0150411121212122,1.0148929677419354,1.0156559787234043,0.009636403820773147,False,8
sx.bet,0.0065526640332975485,0.0077955366884174156,0.009827811491519386,0.015153107732042596,0.013668407549700202,0.016388530855192603,0.019521643342504284,0.01994345378383807,0.021006411105311894,0.021116261239679253,1.0450341904761904,1.0420207668711656,1.0365189212121213,1.0225878323353292,1.0261431428571428,1.0255714107142857,1.0184841575342467,1.0227065105263158,1.0244325163398693,1.0218946363636363,0.011510448924656832,False,9
pinnacle,0.011201722095128238,0.01173839828316855,0.012598270212987825,0.012979470616548304,0.013313887839512172,0.013883380205194702,0.01999777034001988,0.020926698592550495,0.02446511850983718,0.02364415317965539,1.040420395987789,1.0403864353711791,1.0403300842572063,1.0401893478260869,1.040031095026643,1.0391162056074768,1.0402528351701006,1.0417784956601188,1.042149855359765,1.0413250569684638,0.013488923153479448,True,10
betfair-ex,,,,,,,,0.09369562129809131,0.02261557060869803,,,,,,,,,1.020287355140187,1.0376460952380953,,0.06704060228956882,False,11
