fixture_id,home_team,away_team,market_id,snapshot_mins,outcome_a_id,outcome_b_id,best_price_a,best_price_b,book_side_a,book_side_b,over_round,arb_margin_%
id1000001761301117,West Ham United,Manchester City,1012,720,1012,1013,2.52,2.4857,prophetx,sx.bet,0.7991,20.087
id1000001761301117,West Ham United,Manchester City,1012,300,1012,1013,2.52,2.47,prophetx,sx.bet,0.8017,19.832
id1000001761301119,AFC Bournemouth,Manchester United,1012,300,1012,1013,2.5,2.4778,prophetx,sx.bet,0.8036,19.642
id1000001761301119,AFC Bournemouth,Manchester United,1012,60,1012,1013,2.48,2.4778,prophetx,sx.bet,0.8068,19.32
id1000001761301093,Wolverhampton Wanderers,Liverpool FC,1010,1,1010,1011,2.4328,2.52,sx.bet,prophetx,0.8079,19.212
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,10,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301119,AFC Bournemouth,Manchester United,1012,10,1012,1013,2.48,2.4543,prophetx,sx.bet,0.8107,18.933
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,20,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,1,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,30,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,60,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,5,1010,1011,2.4543,2.48,sx.bet,prophetx,0.8107,18.933
id1000001761301119,AFC Bournemouth,Manchester United,1012,1,1012,1013,2.48,2.4543,prophetx,sx.bet,0.8107,18.933
id1000001761301119,AFC Bournemouth,Manchester United,1012,5,1012,1013,2.48,2.4543,prophetx,sx.bet,0.8107,18.933
id1000001761301093,Wolverhampton Wanderers,Liverpool FC,1010,1440,1010,1011,2.4102,2.52,sx.bet,prophetx,0.8117,18.827
id1000001761301119,AFC Bournemouth,Manchester United,1012,30,1012,1013,2.46,2.4543,prophetx,sx.bet,0.8139,18.605
id1000001761301119,AFC Bournemouth,Manchester United,1012,20,1012,1013,2.46,2.4543,prophetx,sx.bet,0.8139,18.605
id1000001761301103,Burnley FC,AFC Bournemouth,1010,5,1010,1011,2.3955,2.5,sx.bet,prophetx,0.8174,18.255
id1000001761301103,Burnley FC,AFC Bournemouth,1010,10,1010,1011,2.3955,2.5,sx.bet,prophetx,0.8174,18.255
id1000001761301103,Burnley FC,AFC Bournemouth,1010,20,1010,1011,2.3955,2.5,sx.bet,prophetx,0.8174,18.255
id1000001761301103,Burnley FC,AFC Bournemouth,1010,1,1010,1011,2.3955,2.5,sx.bet,prophetx,0.8174,18.255
id1000001761301123,Brighton & Hove Albion,Liverpool FC,1010,300,1010,1011,2.3671,2.52,sx.bet,prophetx,0.8193,18.072
id1000001761301117,West Ham United,Manchester City,1010,1,1010,1011,2.3955,2.48,sx.bet,prophetx,0.8207,17.933
id1000001761301073,Manchester United,Crystal Palace,1010,720,1010,1011,2.4328,2.44,sx.bet,prophetx,0.8209,17.911
id1000001761301117,West Ham United,Manchester City,1010,60,1010,1011,2.4102,2.46,sx.bet,prophetx,0.8214,17.86
id1000001761301117,West Ham United,Manchester City,1010,5,1010,1011,2.3955,2.46,sx.bet,prophetx,0.8239,17.605
id1000001761301117,West Ham United,Manchester City,1010,30,1010,1011,2.3955,2.44,sx.bet,prophetx,0.8273,17.272
id1000001761301117,West Ham United,Manchester City,1010,20,1010,1011,2.3955,2.44,sx.bet,prophetx,0.8273,17.272
id1000001761301117,West Ham United,Manchester City,1010,10,1010,1011,2.3955,2.44,sx.bet,prophetx,0.8273,17.272
id1000001761301079,AFC Bournemouth,Brentford FC,1010,1440,1010,1011,2.3671,2.44,sx.bet,prophetx,0.8323,16.771
id1000001761301103,Burnley FC,AFC Bournemouth,1010,30,1010,1011,2.3328,2.46,sx.bet,prophetx,0.8352,16.483
id1000001761301069,Leeds United,Manchester City,1010,1800,1010,1011,2.3887,2.4,sx.bet,prophetx,0.8353,16.469
id1000001761301127,Fulham FC,Burnley FC,1010,300,1010,1011,2.3602,2.42,sx.bet,prophetx,0.8369,16.309
id1000001761301073,Manchester United,Crystal Palace,1010,60,1010,1011,2.3671,2.38,sx.bet,prophetx,0.8426,15.737
id1000001761301105,Chelsea FC,Newcastle United,1012,720,1012,1013,2.4,2.3397,prophetx,sx.bet,0.8441,15.592
id1000001761301073,Manchester United,Crystal Palace,1010,300,1010,1011,2.3602,2.36,sx.bet,prophetx,0.8474,15.259
id1000001761301105,Chelsea FC,Newcastle United,1012,300,1012,1013,2.38,2.3397,prophetx,sx.bet,0.8476,15.242
id1000001761301105,Chelsea FC,Newcastle United,1012,20,1012,1013,2.34,2.3397,prophetx,sx.bet,0.8548,14.524
id1000001761301105,Chelsea FC,Newcastle United,1012,30,1012,1013,2.34,2.3397,prophetx,sx.bet,0.8548,14.524
id1000001761301105,Chelsea FC,Newcastle United,1012,10,1012,1013,2.34,2.3397,prophetx,sx.bet,0.8548,14.524
id1000001761301105,Chelsea FC,Newcastle United,1012,1,1012,1013,2.36,2.2926,prophetx,sx.bet,0.8599,14.009
id1000001761301111,Manchester United,Aston Villa,1010,1440,1010,1011,2.2926,2.36,sx.bet,prophetx,0.8599,14.009
id1000001761301105,Chelsea FC,Newcastle United,1012,60,1012,1013,2.3,2.3397,prophetx,sx.bet,0.8622,13.78
