bookmaker,total_appearances,fixtures_quoted,leadership_count,mean_lag_sec,median_lag_sec,mean_confidence_leader,median_confidence_leader,leads_T-10→T-5,leads_T-1440→T-720,leads_T-1800→T-1440,leads_T-20→T-10,leads_T-300→T-60,leads_T-30→T-20,leads_T-5→T-1,leads_T-60→T-30,leads_T-720→T-300,leads_permin_T-10→T-5,leads_permin_T-1440→T-720,leads_permin_T-1800→T-1440,leads_permin_T-20→T-10,leads_permin_T-300→T-60,leads_permin_T-30→T-20,leads_permin_T-5→T-1,leads_permin_T-60→T-30,leads_permin_T-720→T-300,participation_rate_%,leadership_rate_%,leader_rank,has_limit_data
pinnacle,19979,77,19309,-3439.537365671642,-449.805,13737.220435288562,4966.687230104874,1678.0,3021.0,1605.0,1885.0,2703.0,1773.0,1647.0,2341.0,2656.0,335.6,4.2,4.46,188.5,11.26,177.3,411.75,78.03,6.32,22.4,96.65,1,True
vertex,1407,86,741,1334.3610930930931,272.7835,15339.82223847119,14641.288433382138,9.0,232.0,43.0,9.0,102.0,22.0,41.0,61.0,222.0,1.8,0.32,0.12,0.9,0.42,2.2,10.25,2.03,0.53,25.1,52.67,2,True
polymarket,1022,30,487,-1533.1143906542056,-196.482,4741.412061734181,959.5546558704455,54.0,72.0,34.0,51.0,64.0,62.0,52.0,58.0,40.0,10.8,0.1,0.09,5.1,0.27,6.2,13.0,1.93,0.1,8.7,47.65,3,True
prophetx,4524,90,1789,-272.49861352833636,3.532,1306.0589196521912,281.6901408450704,87.0,385.0,207.0,135.0,257.0,132.0,65.0,222.0,299.0,17.4,0.53,0.57,13.5,1.07,13.2,16.25,7.4,0.71,26.2,39.54,4,True
betfair-ex,476,10,145,-556.9601842900303,-681.568,2913.5048049142047,235.95715742944577,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.9,30.46,5,True
3et,8310,83,737,309.4689961706061,35.675,3664.413031003868,1785.135135135135,98.0,112.0,68.0,104.0,47.0,122.0,46.0,85.0,55.0,19.6,0.16,0.19,10.4,0.2,12.2,11.5,2.83,0.13,24.2,8.87,6,True
sharpbet,9858,93,661,1284.462647385017,108.5,585.7401297245576,119.814200398142,39.0,135.0,81.0,42.0,81.0,60.0,46.0,78.0,99.0,7.8,0.19,0.22,4.2,0.34,6.0,11.5,2.6,0.24,27.1,6.71,7,True
198bet,10627,74,440,1570.1073350348483,167.316,0.0,0.0,19.0,198.0,49.0,25.0,25.0,19.0,26.0,37.0,42.0,3.8,0.28,0.14,2.5,0.1,1.9,6.5,1.23,0.1,21.6,4.14,8,False
sx.bet,2426,52,91,-1231.0915558886509,-0.006,1102.0815093718736,827.3720771133371,7.0,6.0,6.0,7.0,17.0,9.0,13.0,12.0,14.0,1.4,0.01,0.02,0.7,0.07,0.9,3.25,0.4,0.03,15.2,3.75,9,True
kaiyun,12961,96,30,-97.96874495398654,74.664,0.0,0.0,5.0,4.0,5.0,2.0,0.0,8.0,0.0,2.0,4.0,1.0,0.01,0.01,0.2,0.0,0.8,0.0,0.07,0.01,28.0,0.23,10,False
singbet,9271,85,0,1378.5836706935604,142.206,,,,,,,,,,,,,,,,,,,,,24.8,0.0,11,False
